ID,email,name,address1,address2,state,city,country,website,hours,phone,zip,lat,lon
1126,electricstereo@hotmail.com,Galaxy LEDs,2720 cheakamus way suite 2,Test Address Line 2,British Columbia,Whistler,Canada,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011-801-000-0000,V0N 1B2,50.0880454,-123.003571
323,scclifton@hotmail.com,Green Thumb Hydroponics,PO Box 34002,Test Address Line 2,Manitoba,Winnipeg,Canada,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,R3T 5T5,49.7896802,-97.1571686
16,darren@mygreenplanet.com,Gardening Unlimited,15374-103A Avenue,Test Address Line 2,British Columbia,Surrey,Canada,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,V3R 7A2,49.1904806,-122.7955355
40,vindor@shawbiz.ca,Grofax,#103-44195 Yale Rd. West,Test Address Line 2,British Columbia,Chilliwack,Canada,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,V2R 4H2,49.1457679,-122.001634
709,cundersun@yahoo.com,IE Hydrogarden,217 chemin Laurent,Test Address Line 2,Quebec,Saint-Adolphe-d`Howard,Canada,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,J0T 2B0,45.9965455,-74.283765
895,rburnettsrn.rb@gmail.com,Green Spot Hydro,214 Queen Street,Test Address Line 2,Ontario,Sarnia,Canada,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,N7T2R6,42.9653335,-82.4074585
577,info@tricoma.cl,Verde Manana,Independencia 50 Oficina 8,Test Address Line 2,Los Lagos,Puerto Varas,Mexico,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,5550550,-41.3128966,-72.9864116
748,sales@easygrow.co.nz,Evergreen Garden supply,Unit 9/69 Wiri Station Rd,Test Address Line 2,Auckland,Manukau,New Zealand,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,2104,-36.9980474,174.875025
364,sorokin.ivan@gmail.com,Greener Side of Life,Blah Blah,Test Address Line 2,Dealer,Kiev,Russia,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,3035,50.433096,30.485026
363,sorokin.ivan@gmail.com,Gro More Garden Supply,15 Uritskogo flat 95,Test Address Line 2,Dealer,Kiev,Russia,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,3035,50.433096,30.485026
1359,info@santyerbasi.com,Horticultura Técnica,Berlinés 4 Bajo,Test Address Line 2,Barcelona,Barcelona,Spain,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,8006,41.4035687,2.1399925
258,sales@sgsak.com,Organic Garden Center,12870 Old Seward Hwy #144,Test Address Line 2,Alaska,Anchorage,United States,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,99515,61.1035282,-149.8589795
915,russell.peterson@alaska.net,Craig Robbins LLC,1687 Harbor Way,Test Address Line 2,Alaska,Juneau,United States,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,99801,58.3042572,-134.4299795
258,sales@sgsak.com,Palm Tree Hydroponics,P.O. Box 125,Test Address Line 2,Alaska,Cold Bay,United States,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,99571,55.2157912,-162.7686644
235,secretgardensupply@gmail.com,Green Door Hydroponics,152 Macleay Rd.,Test Address Line 2,Washington,Sequim,United States,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,98382,48.1086574,-123.17149
196,Westcoastorganics@gmail.com,Cost Plus Hydro,8701 N Division St. Suite D,Test Address Line 2,Washington,Spokane,United States,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,99218,47.737011,-117.4119479
813,danjsperry@gmail.com,All Gro Hydroponics (MI),4625 Lake WA Blvd. NE,Test Address Line 2,Washington,Kirkland,United States,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,98033,47.7020536,-122.1806374
57,ryan@sodohydro.com,Bloom Garden Supply,1727 1st Avenue South,Test Address Line 2,Washington,Seattle,United States,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,98134,47.5879367,-122.3342236
703,indoortropics@gmail.com,Grass Valley Hydrogarden,5930 Sunburst Lane Unit B,Test Address Line 2,Washington,Cashmere,United States,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,98815,47.529952,-120.493102
1073,arnoldmarkarnold@gmail.com,Boldly Grow Hydro,422 Mill Avenue South # 302,Test Address Line 2,Washington,Renton,United States,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,98057,47.47728,-122.202678
1130,gjames@topics-ent.com,DNA Genetics,3405 Lind Ave,Test Address Line 2,Washington,Renton,United States,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,98057,47.449196,-122.2236192
320,info@elementalsolution.com,Long Beach Hydroponics,20 42nd St NE Suite B,Test Address Line 2,Washington,Auburn,United States,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,98002,47.3442956,-122.2297883
320,info@elementalsolution.com,Room To Grow (CO),725 R ST NE,Test Address Line 2,Washington,Auburn,United States,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,98002,47.3150252,-122.2085299
164,tom@montana.net,Hydro Your Own,2105 Ottawa Street,Test Address Line 2,Montana,Butte,United States,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,59701,45.989772,-112.507614
566,indoorgardensupplyllc@gmail.com,Frontier Services,1250 Atlantic Ave.,Test Address Line 2,Washington,Woodland,United States,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,98674,45.908625,-122.743098
1265,jeanette52@outlook.com,Cedar Graphics,P.O. Box 643,Test Address Line 2,Oregon,Hermiston,United States,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,97838,45.8282162,-119.2591627
256,growgreenmontana@hotmail.com,All Seasons Hydroponics,P.O. Box 11138,Test Address Line 2,Montana,Bozeman,United States,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,59719,45.65,-111.17
256,growgreenmontana@hotmail.com,Michigan Garden Supply,80085 Gallatin Road Suite F,Test Address Line 2,Montana,Bozeman,United States,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,59718,45.6469983,-111.1933397
1138,jordan@evergreengardensupply.com,Budmaster LED,10415 NE Sandy Blvd.,Test Address Line 2,Oregon,Portland,United States,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,97220,45.5591341,-122.5553697
66,tim@bloomgardensupply.com,Garden Spout Portland,518 Northeast 20TH Ave.,Test Address Line 2,Oregon,Portland,United States,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,97232,45.5269212,-122.6451395
14,nlgdavid@yahoo.com,Cultivate Hydroponics & Organics,9290 South Beaverton Hills Highway,Test Address Line 2,Oregon,Beaverton,United States,www.example.com,9AM - 5PM Monday - Friday - Except Holidays,011--801-000-0000,97005,45.4864324,-122.772337
